04-12 16:53:50.361   12013-12013   C02b91/AVSession                com.opens...is.music  I     [CreateAVSession]RegisterServiceStartCallback res=0
04-12 16:53:50.361   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=CreateAVSession
04-12 16:53:50.361   12013-13587   C02b91/AVSession                com.opens...is.music  I     [GetService]enter GetService
04-12 16:53:50.361   12013-13587   C02b91/AVSession                com.opens...is.music  I     [GetService]enter check SystemAbility
04-12 16:53:50.362   12013-13587   C02b91/AVSession                com.opens...is.music  I     [AVSessionServiceProxy]constructor
04-12 16:53:50.362   12013-13587   C02b91/AVSession                com.opens...is.music  I     [GetService]get service done
04-12 16:53:50.362   12013-13587   C02b91/AVSession                com.opens...is.music  I     [RegisterClientDeathObserver]RegisterClientDeathObserver with ClientDeathStub success
04-12 16:53:50.362   12013-13587   C02b91/AVSession                com.opens...is.music  I     [RegisterServiceStateListener]RegisterServiceStateListener enter
04-12 16:53:50.362   12013-13587   C02b91/AVSession                com.opens...is.music  I     [RegisterServiceStateListener]RegisterServiceStateListener ret=0
04-12 16:53:50.365   12013-13523   C02b91/AVSession                com.opens...is.music  I     [OnAddSystemAbility]OnAddSystemAbility systemAbilityId=3010
04-12 16:53:50.365   12013-13523   C02b91/AVSession                com.opens...is.music  I     [OnServiceStateChange]OnServiceStateChange enter isAddSystemAbility:1 isServiceDie:0
04-12 16:53:50.367   12013-12013   C02b91/AVSession                com.opens...is.music  I     [NapiAVSession]construct
04-12 16:53:50.367   12013-12013   C02b91/AVSession                com.opens...is.music  I     [NapiAVSession]construct
04-12 16:53:50.367   12013-12013   C02b91/AVSession                com.opens...is.music  I     [NewInstance]NapiAVSession NewInstance sessionId=CD0***, sessionType:audio
04-12 16:53:50.368   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     applyAVSessionMetadata: liveViewUnavailable=true, compact=false, title=花海 - 周杰伦 (Jay Chou), subtitle=花海, singleLyric=花海 - 周杰伦 (Jay Chou)
04-12 16:53:50.368   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVMetaData
04-12 16:53:50.368   12013-13586   C02b91/AVSession                com.opens...is.music  I     [doMetaDataSetNapi]do metadata set with check uri alive:0, pixel alive:0, session alive:1
04-12 16:53:50.368   12013-13586   C02b91/AVSession                com.opens...is.music  I     [SetAVMetaData]SetAVMetaData in proxy
04-12 16:53:50.368   12013-13586   C02b91/AVSession                com.opens...is.music  E     [WriteToParcel]isImageValid,checkFail!ret:true
04-12 16:53:50.368   12013-13822   C02b91/AVSession                com.opens...is.music  I     [AVQueueImgDownloadSyncExecutor]doAVQueueImgDownload:source-1775983601308
04-12 16:53:50.368   12013-13822   C02b91/AVSession                com.opens...is.music  E     [AVQueueImgDownloadSyncExecutor]avqImg not match download conditions
04-12 16:53:50.368   12013-13586   C02b91/AVSession                com.opens...is.music  I     [SetAVMetaData]set avmetadata done
04-12 16:53:50.368   12013-13586   C02b91/AVSession                com.opens...is.music  E     [doMetaDataSetNapi]do metadata set with img uri empty
04-12 16:53:50.368   12013-13586   C02b91/AVSession                com.opens...is.music  I     [operator()]doMetaDataSet res:0|1
04-12 16:53:50.368   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetLaunchAbility
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVQueueTitle
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVQueueItems
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [NapiAVSessionCallback]construct NapiAVSessionCallback
04-12 16:53:50.369   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 0
04-12 16:53:50.370   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 0
04-12 16:53:50.370   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 1
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 1
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 3
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 3
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 4
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 4
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 7
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 7
04-12 16:53:50.371   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 5
04-12 16:53:50.372   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 5
04-12 16:53:50.372   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 6
04-12 16:53:50.372   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 6
04-12 16:53:50.372   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 9
04-12 16:53:50.372   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 9
04-12 16:53:50.372   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 10
04-12 16:53:50.377   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 10
04-12 16:53:50.377   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddSupportCommand]add support command for 17
04-12 16:53:50.378   12013-12013   C02b91/AVSession                com.opens...is.music  I     [AddCallback]Add callback 21
04-12 16:53:50.378   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=Activate
04-12 16:53:50.378   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     createAVSession succeeded
04-12 16:53:50.378   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     attachTrackSource start: trackId=source-1775983601308, raw=, sourceUri=, filePath=/data/storage/el2/base/haps/entry/files/downloads/1775983600229-花海.mp3
04-12 16:53:50.378   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #1931 JsSetAVFileDescriptor In
04-12 16:53:50.378   12013-12013   C02b2b/AVPlayerNapi             com.opens...is.music  I     #1970 JsSetAVFileDescriptor Out
04-12 16:53:50.378   12013-12013   A03d00/JSAPP                    com.opens...is.music  I     attachTrackSource using fdSrc: trackId=source-1775983601308, path=/data/storage/el2/base/haps/entry/files/downloads/1775983600229-花海.mp3, length=29671753
04-12 16:53:50.378   12013-13816   C02b2b/AVPlayerNapi             com.opens...is.music  I     #1958 SetAVFileDescriptor Task
04-12 16:53:50.378   12013-13816   C02b2b/AVPlayerNapi             com.opens...is.music  I     #1962 JsSetAVFileDescriptor fd: 81, offset: 0, size: 29671753
04-12 16:53:50.378   12013-13816   C02b2b/FdUtils                  com.opens...is.music  W     #72 Getxattr value failed, errno is No data available
04-12 16:53:50.378   12013-13816   C02b2b/FdUtils                  com.opens...is.music  W     #62 === fd is cloud
04-12 16:53:50.378   12013-12013   C02b91/AVSession                com.opens...is.music  I     [Enqueue]name=SetAVQueueTitle
04-12 16:53:50.379   12013-13816   C02b2b/PlayerImpl               com.opens...is.music  I     #197 PlayerImpl:0x1F9F18 SetSourceTask dupFd
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
04-12 16:53:50.380   12013-12013   C02b91/AVSession                com.opens...is.music  I     [GetAssetId]MediaDescription has assetId
